n_uni_tokens,n_bpe_tokens,n_chars,n_lines,valid_uni_chunk,valid_bpe_chunk
102,101,360,7,False,False
90,95,309,7,False,False
91,93,339,7,False,False
91,94,328,7,False,False
87,88,325,7,False,False
74,77,318,7,False,False
91,92,338,7,False,False
80,84,316,7,False,False
87,91,317,7,False,False
84,89,327,7,False,False
81,80,310,7,False,False
152,153,522,11,True,True
91,95,329,9,False,False
94,94,322,7,False,False
88,89,331,7,False,False
96,92,328,7,False,False
88,85,315,6,False,False
88,89,320,6,False,False
101,102,328,8,False,False
102,96,313,7,False,False
99,99,337,7,False,False
93,95,329,8,False,False
82,89,314,9,False,False
84,93,322,7,False,False
100,100,343,7,False,False
86,88,329,7,False,False
86,91,319,6,False,False
90,89,301,7,False,False
98,99,335,6,False,False
99,99,350,8,False,False
92,90,310,6,False,False
90,98,344,7,False,False
89,98,329,8,False,False
84,83,310,6,False,False
94,95,321,6,False,False
86,86,304,5,False,False
102,103,358,7,False,False
102,100,327,7,False,False
117,115,338,7,False,False
107,115,361,7,False,False
98,100,330,6,False,False
91,91,331,6,False,False
95,96,335,8,False,False
91,97,348,7,False,False
89,92,353,7,False,False
92,90,349,7,False,False
89,90,315,7,False,False
96,92,319,7,False,False
89,90,308,6,False,False
96,95,342,7,False,False
99,98,316,7,False,False
98,99,334,7,False,False
88,90,341,7,False,False
88,89,316,7,False,False
175,91,499,8,True,False
89,94,319,11,False,False
103,112,379,11,False,False
108,109,412,11,False,False
99,100,390,8,False,False
80,78,336,7,False,False
88,91,317,7,False,False
111,109,344,7,False,False
104,102,333,6,False,False
80,80,323,7,False,False
96,95,348,8,False,False
97,97,344,7,False,False
96,98,322,7,False,False
95,97,345,7,False,False
94,98,329,9,False,False
220,225,803,18,True,True
427,434,1442,27,True,True
96,100,331,7,False,False
91,93,344,8,False,False
98,101,342,7,False,False
94,97,344,7,False,False
87,86,307,7,False,False
94,90,303,7,False,False
92,93,322,8,False,False
89,95,328,7,False,False
86,90,314,8,False,False
89,89,322,7,False,False
302,310,945,18,True,True
219,224,741,15,True,True
287,297,1023,23,True,True
76,80,334,8,False,False
91,97,306,8,False,False
93,98,331,7,False,False
101,106,343,8,False,False
92,95,336,7,False,False
94,91,336,7,False,False
97,99,323,7,False,False
91,97,305,8,False,False
80,80,305,6,False,False
94,90,313,8,False,False
83,82,322,7,False,False
91,94,314,7,False,False
79,87,303,7,False,False
88,90,346,7,False,False
91,91,330,7,False,False
91,98,321,7,False,False
80,82,315,5,False,False
106,102,351,6,False,False
104,101,311,7,False,False
97,101,334,7,False,False
100,102,326,6,False,False
97,100,334,7,False,False
92,94,311,9,False,False
175,91,499,8,True,False
185,184,693,14,True,True
278,282,1032,21,True,True
80,83,354,10,False,False
83,86,318,9,False,False
92,96,327,6,False,False
92,95,314,6,False,False
114,115,339,7,False,False
109,108,368,7,False,False
101,105,337,7,False,False
106,112,330,9,False,False
79,81,327,5,False,False
103,110,359,8,False,False
86,90,322,6,False,False
83,89,305,6,False,False
93,91,311,5,False,False
99,103,364,6,False,False
101,113,348,7,False,False
113,117,361,7,False,False
150,157,580,9,True,True
315,325,1112,24,True,True
312,317,1073,20,True,True
296,298,1060,20,True,True
79,83,316,9,False,False
175,91,499,8,True,False
78,80,321,7,False,False
82,93,309,5,False,False
97,104,329,7,False,False
84,89,320,6,False,False
93,99,313,7,False,False
108,109,364,7,False,False
85,89,309,8,False,False
89,91,319,8,False,False
85,85,306,7,False,False
90,89,314,7,False,False
92,90,310,7,False,False
97,97,334,6,False,False
125,125,458,9,False,False
285,296,992,17,True,True
280,286,888,16,True,True
70,74,323,6,False,False
88,90,335,5,False,False
89,96,360,6,False,False
79,84,312,5,False,False
80,83,313,5,False,False
92,95,330,5,False,False
102,106,334,6,False,False
94,100,360,6,False,False
92,95,316,6,False,False
291,302,1090,23,True,True
356,365,1318,21,True,True
386,389,1308,27,True,True
79,87,319,6,False,False
105,106,365,7,False,False
91,93,317,7,False,False
104,102,309,7,False,False
92,94,315,7,False,False
94,98,318,6,False,False
115,114,368,6,False,False
96,99,312,6,False,False
452,447,1574,27,True,True
512,483,1604,35,True,True
214,219,767,18,True,True
