n_tokens,n_chars,n_lines,valid_chunk
184,602,15,True
178,636,16,True
193,640,17,True
177,622,15,True
188,653,16,True
170,622,13,True
171,634,14,True
178,637,15,True
195,632,15,True
172,602,14,True
184,630,14,True
177,615,14,True
186,644,14,True
190,603,15,True
177,617,13,True
187,634,14,True
198,614,19,True
189,611,16,True
329,1065,21,True
183,619,15,True
185,640,16,True
182,625,15,True
181,606,15,True
194,626,16,True
186,618,14,True
174,628,15,True
174,606,14,True
227,834,19,True
297,1078,27,True
189,625,14,True
161,611,12,True
189,611,14,True
192,625,13,True
169,607,13,True
189,621,16,True
176,623,15,True
196,640,15,True
176,625,13,True
182,618,15,True
181,626,16,True
195,636,16,True
193,621,14,True
193,618,14,True
179,624,14,True
183,659,15,True
175,609,14,True
179,641,14,True
173,620,16,True
180,606,14,True
170,601,14,True
180,607,15,True
182,606,13,True
179,629,14,True
194,642,14,True
168,601,13,True
187,636,16,True
175,614,14,True
182,626,15,True
160,622,14,True
180,619,15,True
305,1141,24,True
235,781,18,True
333,1237,25,True
225,785,16,True
237,685,14,True
169,606,27,True
185,634,11,True
166,617,13,True
173,644,14,True
180,628,13,True
176,629,12,True
288,1065,21,True
143,603,12,True
297,1080,26,True
171,636,16,True
185,638,13,True
166,614,12,True
166,620,12,True
179,630,14,True
166,634,12,True
163,604,12,True
180,601,12,True
166,624,11,True
171,629,13,True
202,694,14,True
377,1278,23,True
272,984,18,True
155,612,14,True
393,1463,27,True
321,1094,20,True
152,614,12,True
180,643,15,True
176,639,13,True
168,634,13,True
397,1350,27,True
432,1560,32,True
146,613,13,True
171,637,13,True
166,621,13,True
174,642,14,True
251,923,20,True
166,632,14,True
190,634,13,True
169,619,13,True
180,610,12,True
189,612,11,True
220,663,15,True
188,632,13,True
179,606,12,True
214,643,13,True
198,616,12,True
200,618,13,True
381,1312,27,True
500,1798,38,True
183,640,16,True
171,628,14,True
187,645,14,True
188,629,14,True
175,658,15,True
173,603,14,True
168,613,13,True
169,642,13,True
176,635,14,True
191,776,14,True
329,1171,24,True
170,620,14,True
477,1742,35,True
174,634,13,True
316,1066,21,True
187,631,14,True
192,652,13,True
168,609,10,True
173,619,12,True
189,602,14,True
181,635,11,True
201,662,12,True
198,711,12,True
204,620,12,True
176,645,12,True
181,630,13,True
171,612,13,True
182,607,13,True
162,610,15,True
524,1731,35,True
157,625,13,True
171,633,14,True
167,624,13,True
171,606,12,True
173,603,13,True
162,632,16,True
182,612,13,True
209,653,11,True
199,610,9,True
411,1496,30,True
174,626,14,True
166,654,13,True
188,612,15,True
179,628,14,True
193,607,13,True
234,636,11,True
218,639,14,True
157,608,13,True
253,792,15,True
179,620,14,True
165,609,13,True
198,641,13,True
185,644,14,True
212,648,14,True
168,626,13,True
162,614,12,True
184,628,13,True
181,611,12,True
172,622,13,True
167,638,13,True
176,616,13,True
185,642,13,True
177,604,13,True
181,612,13,True
184,635,13,True
179,608,12,True
189,630,14,True
184,642,13,True
167,626,13,True
179,627,13,True
413,1525,31,True
171,693,13,True
159,625,14,True
160,627,13,True
174,652,11,True
180,614,13,True
156,610,13,True
255,998,19,True
304,1070,22,True
317,1075,21,True
167,614,12,True
169,610,13,True
170,605,12,True
251,821,17,True
163,615,13,True
197,614,14,True
181,607,13,True
170,606,13,True
177,645,14,True
167,601,13,True
181,659,14,True
155,613,13,True
170,646,14,True
177,630,11,True
160,609,13,True
176,636,12,True
195,633,14,True
170,631,13,True
174,611,11,True
208,648,12,True
285,977,20,True
388,1380,28,True
164,627,15,True
176,645,14,True
170,617,13,True
183,629,15,True
173,604,12,True
200,636,13,True
161,612,13,True
165,616,10,True
171,626,12,True
170,619,10,True
170,618,12,True
166,643,14,True
184,624,14,True
192,625,12,True
159,631,13,True
192,631,14,True
166,609,14,True
173,623,14,True
222,664,13,True
223,790,16,True
395,1401,30,True
193,651,14,True
178,607,12,True
189,636,14,True
198,642,14,True
179,608,12,True
174,644,13,True
198,649,11,True
214,697,11,True
156,611,13,True
171,639,14,True
166,618,13,True
174,631,14,True
179,649,15,True
144,602,12,True
180,644,14,True
173,645,13,True
182,612,13,True
203,632,13,True
206,652,13,True
200,761,27,True
181,602,20,True
175,623,14,True
178,633,13,True
180,647,14,True
165,630,14,True
161,607,13,True
166,626,13,True
173,614,13,True
255,853,18,True
175,683,13,True
173,679,13,True
172,614,12,True
176,637,13,True
159,601,13,True
209,638,17,True
186,631,12,True
161,604,13,True
163,604,13,True
174,625,13,True
174,645,13,True
171,645,14,True
175,635,12,True
171,633,14,True
309,1130,22,True
375,1319,29,True
178,637,15,True
418,1492,31,True
183,614,13,True
183,621,13,True
187,624,15,True
259,941,20,True
249,752,15,True
185,614,12,True
366,1100,24,True
166,607,12,True
155,608,13,True
169,621,13,True
191,611,14,True
181,610,13,True
252,836,17,True
260,848,17,True
174,639,18,True
185,613,13,True
195,606,13,True
192,635,14,True
175,622,13,True
170,627,14,True
171,640,14,True
203,741,16,True
489,1724,36,True
193,716,16,True
167,641,17,True
154,615,13,True
171,624,13,True
185,630,13,True
165,615,13,True
162,603,13,True
167,601,12,True
185,630,13,True
228,789,17,True
184,612,14,True
208,604,11,True
171,608,14,True
177,601,13,True
161,610,13,True
188,630,13,True
194,617,13,True
208,611,16,True
187,643,14,True
186,605,12,True
175,604,13,True
174,617,13,True
175,624,13,True
167,621,14,True
176,629,13,True
437,1526,35,True
531,1774,38,True
510,1749,38,True
181,636,17,True
175,660,15,True
174,646,14,True
171,628,13,True
168,605,13,True
169,614,13,True
182,636,14,True
201,612,14,True
188,631,14,True
172,630,12,True
186,619,13,True
178,603,13,True
161,618,13,True
186,618,13,True
175,619,16,True
184,624,13,True
182,637,13,True
180,618,13,True
174,650,13,True
187,636,15,True
199,643,14,True
183,620,13,True
187,617,14,True
420,1460,31,True
177,645,15,True
171,642,14,True
172,635,13,True
167,611,13,True
171,615,13,True
246,918,21,True
231,811,18,True
169,623,14,True
175,615,10,True
169,628,14,True
177,637,12,True
157,615,13,True
273,933,19,True
458,1661,29,True
270,822,16,True
298,1102,23,True
185,709,15,True
158,602,14,True
196,635,15,True
193,626,12,True
175,611,11,True
176,627,12,True
237,803,17,True
186,657,16,True
181,627,11,True
181,602,13,True
180,653,13,True
184,624,10,True
183,633,10,True
395,1282,30,True
187,662,15,True
188,638,12,True
193,619,11,True
195,610,14,True
186,612,10,True
507,1678,32,True
162,611,14,True
187,646,15,True
170,615,13,True
185,648,14,True
187,641,13,True
406,1468,30,True
482,1652,39,True
233,829,19,True
